date,Close,EPS Estimate,Reported EPS,Surprise(%),Post Open,Open Diff(%),Symbol
2001-07-23,23.969200134277344,0.56,0.56,0.49,24.00795192762581,0.1616732854303869,MMM
2001-10-22,23.25247573852539,0.55,0.55,0.76,23.382398268720653,0.5587470842083407,MMM
2002-04-22,27.356279373168945,0.59,0.62,3.68,27.3015821947652,-0.1999437776519895,MMM
2002-07-22,23.969799041748047,0.67,0.68,1.75,24.409616876848567,1.834883280975748,MMM
2003-01-21,27.8977108001709,0.64,0.65,0.78,27.89991505572362,0.0079012058319471,MMM
2003-04-21,28.979135513305664,0.7,0.71,1.33,28.646552667472665,-1.1476631029255446,MMM
2003-07-21,30.596290588378903,0.75,0.78,3.57,30.598550725034304,0.0073869629681719,MMM
2003-10-20,34.030208587646484,0.79,0.83,4.53,34.251121578216136,0.6491673126266008,MMM
2004-01-20,36.40850830078125,0.76,0.77,1.49,36.65302822338879,0.6716010460727678,MMM
2004-04-19,38.09611129760742,0.87,0.9,3.08,38.20525381636115,0.286492544871851,MMM
2004-07-19,37.93748092651367,0.96,0.97,0.74,38.12021198101437,0.4816636477647245,MMM
2004-10-18,34.9224853515625,0.98,0.97,-0.59,35.24373002418471,0.9198791821036122,MMM
2005-01-18,37.80563735961914,0.91,0.91,0.47,38.02688519907522,0.5852244662654328,MMM
2005-04-18,35.160404205322266,1.01,1.03,1.91,35.43834909505403,0.7905053881311489,MMM
2005-07-18,34.71508026123047,1.09,1.09,0.13,34.73371570514469,0.053681120060761,MMM
2005-10-18,35.004085540771484,1.08,1.1,2.03,35.00876844698612,0.0133781704115037,MMM
2006-01-24,34.95041275024414,1.03,1.04,0.62,34.50292361603575,-1.2803543620676223,MMM
2006-07-25,32.4567985534668,1.07,1.05,-2.02,32.45680111098235,7.879752977598069e-06,MMM
2007-01-30,36.03202438354492,1.14,1.1,-3.87,35.79566614530997,-0.655967135565353,MMM
2007-04-26,39.05032730102539,1.12,1.28,14.65,38.817349258466,-0.5966097051208853,MMM
2007-07-26,43.95500183105469,1.18,1.23,4.1,44.12584219172359,0.3886710352681729,MMM
2008-01-29,38.51702499389648,1.17,1.19,1.64,38.418291077197786,-0.256338376897863,MMM
2008-04-24,39.3111686706543,1.35,1.38,2.22,39.17207481526701,-0.3538278308452335,MMM
2008-07-24,35.52620315551758,1.35,1.39,2.9,35.76619908630835,0.6755462432621244,MMM
2008-10-21,30.23299789428711,1.38,1.42,3.07,29.83519014369447,-1.3158064972042065,MMM
2009-01-29,28.706485748291016,0.93,0.97,3.85,28.726794321945096,0.0707455932856208,MMM
2009-07-23,35.938575744628906,0.94,1.2,27.21,35.92304834037364,-0.0432053968014768,MMM
2009-10-22,41.08136367797852,1.17,1.37,16.94,40.88844550646067,-0.4696002134448589,MMM
2010-01-28,42.37765884399414,1.21,1.3,7.31,42.69253138809152,0.7430154300324401,MMM
2010-04-27,46.46989440917969,1.21,1.4,15.7,46.955882786218,1.04581338782278,MMM
2010-07-22,45.05046081542969,1.48,1.54,4.33,45.02384742086929,-0.0590746333748591,MMM
2010-10-28,45.504642486572266,1.51,1.53,1.09,45.47255171349167,-0.0705219760600614,MMM
2011-01-25,47.63625717163086,1.27,1.28,0.95,47.67931646780566,0.0903918542963251,MMM
2011-04-26,51.951507568359375,1.44,1.49,3.81,51.8053193702616,-0.2813935628439967,MMM
2011-07-26,48.9841194152832,1.6,1.6,0.27,48.853405255576185,-0.2668500756313183,MMM
2011-10-25,42.24595642089844,1.61,1.52,-5.37,42.76143249261118,1.220178486615448,MMM
2012-01-26,48.36503982543945,1.31,1.35,3.4,48.127578339979024,-0.4909775455938462,MMM
2012-04-24,49.19747161865234,1.49,1.63,9.72,49.4699035035871,0.5537518005934807,MMM
2012-07-26,50.71382141113281,1.65,1.66,0.44,50.90975271312568,0.3863469494922602,MMM
2013-01-24,56.52471160888672,1.41,1.41,0.1,56.59276216040719,0.1203907982606543,MMM
2013-04-25,59.84673309326172,1.65,1.61,-2.54,59.8980805067333,0.085798189504455,MMM
2013-07-25,66.88504028320312,1.7,1.71,0.31,66.66696247246256,-0.3260487095727042,MMM
2013-10-24,71.25975799560547,1.75,1.78,1.47,71.00589804583272,-0.3562458769343581,MMM
2014-01-30,74.2536849975586,1.62,1.62,0.27,73.41286079065605,-1.1323669753631551,MMM
2014-04-24,79.76131439208984,1.8,1.79,-0.29,79.67375438498821,-0.1097775378565137,MMM
2014-07-24,85.23067474365234,1.91,1.91,0.11,85.54190539312367,0.3651627191822811,MMM
2014-10-23,85.69160461425781,1.96,1.98,0.82,85.66205511229828,-0.0344835437410164,MMM
2015-01-27,97.18702697753906,1.8,1.81,0.82,97.76906315311288,0.5988825810139595,MMM
2015-04-23,95.41889190673828,1.92,1.95,1.3,95.5085524567806,0.0939651973007173,MMM
2015-07-23,89.91188049316406,2.0,2.02,1.22,89.52694368652861,-0.4281267442345597,MMM
2015-10-22,94.47401428222656,2.0,2.05,2.4,94.80104967104556,0.3461643831943212,MMM
2016-01-26,88.25521850585938,1.63,1.66,2.14,88.35885585173074,0.1174291420109985,MMM
2016-04-26,102.03216552734376,1.92,2.05,6.57,102.52951861282794,0.4874473485039442,MMM
2016-07-26,109.80704498291016,2.07,2.08,0.63,109.6525407713896,-0.1407051902221687,MMM
2016-10-25,103.38265991210938,2.14,2.15,0.51,103.04684148999289,-0.3248305106504309,MMM
2017-01-24,110.14191436767578,1.87,1.88,0.43,110.8429218088522,0.6364583775403719,MMM
2017-04-25,122.92974853515624,2.06,2.16,4.63,123.28887154784584,0.2921367829747812,MMM
2017-07-25,126.3637466430664,2.54,2.25,-11.52,127.03552115379873,0.5316196524544724,MMM
2017-10-24,149.5651397705078,2.21,2.33,5.53,149.79464410216173,0.1534477432415495,MMM
2018-01-25,161.66493225097656,2.01,2.1,4.54,162.35039673903967,0.4240032012625692,MMM
2018-07-24,130.20062255859375,2.58,2.59,0.28,130.1681758421507,-0.024920553992317,MMM
2018-10-23,125.76322174072266,2.7,2.58,-4.52,125.469311101513,-0.2337015823398717,MMM
2019-01-29,129.51551818847656,2.28,2.31,1.31,130.35066404114798,0.6448230021796126,MMM
2019-04-25,126.28573608398438,2.49,2.23,-10.41,126.1599719080347,-0.0995869999649301,MMM
2019-07-25,118.9584503173828,2.05,2.2,7.12,118.62452046417744,-0.2807113343477763,MMM
2019-10-24,109.10236358642578,2.49,2.58,3.54,109.52021823680026,0.3829932153976434,MMM
2020-01-28,112.5552215576172,2.1,2.15,2.36,113.07864550600009,0.4650374644013675,MMM
2020-04-28,108.10770416259766,2.03,2.16,6.31,108.74562204373828,0.5900762448725755,MMM
2020-10-27,112.5644302368164,2.26,2.43,7.39,111.71159814322144,-0.7576390621804255,MMM
2021-01-26,124.05789184570312,2.15,2.38,10.6,125.01679896247666,0.7729513233758405,MMM
2021-04-27,138.23155212402344,2.29,2.77,20.78,138.62255890660683,0.282863627424636,MMM
2021-07-27,143.55979919433594,2.28,2.59,13.61,142.73626388977738,-0.5736531460619744,MMM
2022-01-25,126.39529418945312,2.01,2.31,14.84,126.78086794220476,0.3050538829188573,MMM
2022-04-26,105.9277114868164,2.31,2.65,14.7,106.33902581416731,0.3882971902042024,MMM
2022-07-26,104.42376708984376,2.42,2.48,2.64,103.58539728191812,-0.8028534415965886,MMM
2022-10-25,88.81851196289062,2.6,2.69,3.44,89.63550464783613,0.9198450490668574,MMM
2023-01-24,87.20446014404297,2.36,2.28,-3.52,86.82532402657179,-0.4347668878918871,MMM
2023-04-25,80.1916275024414,1.58,1.97,24.37,79.90734224674847,-0.3545074025144095,MMM
2023-07-25,85.66950225830078,1.72,2.17,26.16,85.67729418685502,0.0090953353863868,MMM
