Symbol,RMSE,MAE,MAPE,R2,Count
NVDA,4.2681820847752565,3.2974073575151217,5.727577021802096,0.991218936595209,10.0
GOOGL,9.446048356997107,8.360511306604991,5.647633095962631,0.9208104632569828,10.0
AMZN,10.483668242694378,8.802502708693222,6.164782399980197,0.9387057956275954,10.0
AAPL,6.972585109256954,5.855607452632225,3.04453087327992,0.9493689604414381,10.0
MSFT,16.692523933344603,14.022326746603387,4.203001769786533,0.9472744092021746,10.0
META,38.54984627843164,32.279677836874114,11.26398638667161,0.9532750387712791,10.0
TSLA,19.502619329433205,18.00315945341706,7.9654995011727,0.925280855687783,10.0
Total,18.558989407773755,12.945884694620016,6.2881444355222404,0.9804219495792452,70.0
