Symbol,Direction Accuracy (%),Correct Predictions,Incorrect Predictions,Up Predictions,Down Predictions,Actual Ups,Actual Downs,Count
CPB,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
ES,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
TRV,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
MCK,100.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
MOS,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
EXPE,75.0,3.0,1.0,4.0,0.0,3.0,1.0,4.0
JBL,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
TXT,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
ROL,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
AOS,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
ACGL,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
C,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
MOH,100.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0
INCY,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
GILD,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0
SLB,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
RCL,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
CVS,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
HRL,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
LLY,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CZR,100.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0
VZ,100.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0
CSCO,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
SYK,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
BRO,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
DXCM,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0
NTAP,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
CVX,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
KO,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
SRE,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
MET,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
TT,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
ELV,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
A,100.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
TSLA,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
DLTR,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
WFC,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
DG,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
GIS,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
ABNB,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
TDY,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
Total,56.99999999999999,570.0,430.0,734.0,266.0,536.0,464.0,1000.0
