Symbol,Direction Accuracy (%),Correct Predictions,Incorrect Predictions,Up Predictions,Down Predictions,Actual Ups,Actual Downs,Count
VST,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
ADBE,100.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0
ATO,80.0,4.0,1.0,4.0,1.0,3.0,2.0,5.0
NWSA,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
VTR,66.66666666666666,2.0,1.0,3.0,0.0,2.0,1.0,3.0
CRL,60.0,3.0,2.0,5.0,0.0,3.0,2.0,5.0
AMD,66.66666666666666,4.0,2.0,4.0,2.0,2.0,4.0,6.0
LDOS,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
BX,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
REGN,75.0,3.0,1.0,2.0,2.0,1.0,3.0,4.0
MCD,0.0,0.0,4.0,2.0,2.0,2.0,2.0,4.0
LII,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
MCHP,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
AMAT,25.0,1.0,3.0,4.0,0.0,1.0,3.0,4.0
ITW,50.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0
IFF,75.0,3.0,1.0,3.0,1.0,2.0,2.0,4.0
MPWR,75.0,3.0,1.0,4.0,0.0,3.0,1.0,4.0
ICE,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
HIG,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
URI,40.0,2.0,3.0,3.0,2.0,2.0,3.0,5.0
DAL,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0
PODD,25.0,1.0,3.0,1.0,3.0,2.0,2.0,4.0
SCHW,50.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0
BG,60.0,3.0,2.0,3.0,2.0,3.0,2.0,5.0
TECH,50.0,2.0,2.0,1.0,3.0,1.0,3.0,4.0
OKE,66.66666666666666,2.0,1.0,1.0,2.0,2.0,1.0,3.0
VRSN,25.0,1.0,3.0,4.0,0.0,1.0,3.0,4.0
AMP,75.0,3.0,1.0,4.0,0.0,3.0,1.0,4.0
IBM,42.857142857142854,3.0,4.0,5.0,2.0,3.0,4.0,7.0
EVRG,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
WM,66.66666666666666,4.0,2.0,5.0,1.0,3.0,3.0,6.0
ODFL,66.66666666666666,2.0,1.0,2.0,1.0,3.0,0.0,3.0
MSFT,66.66666666666666,2.0,1.0,2.0,1.0,1.0,2.0,3.0
UHS,80.0,4.0,1.0,4.0,1.0,3.0,2.0,5.0
EQR,100.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0
REG,40.0,2.0,3.0,3.0,2.0,2.0,3.0,5.0
CB,50.0,2.0,2.0,1.0,3.0,3.0,1.0,4.0
MLM,66.66666666666666,2.0,1.0,2.0,1.0,3.0,0.0,3.0
BAC,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
CHTR,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
BKNG,100.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
TGT,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
AKAM,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0
YUM,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
PH,80.0,4.0,1.0,5.0,0.0,4.0,1.0,5.0
FAST,50.0,3.0,3.0,4.0,2.0,3.0,3.0,6.0
CTSH,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
ROP,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
IP,50.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0
WSM,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
IEX,100.0,5.0,0.0,4.0,1.0,4.0,1.0,5.0
BBY,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
SNPS,50.0,3.0,3.0,4.0,2.0,5.0,1.0,6.0
TTWO,50.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0
APTV,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
HUBB,75.0,3.0,1.0,3.0,1.0,2.0,2.0,4.0
VTRS,100.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
JNPR,100.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
PM,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
MSI,50.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0
BDX,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0
CSGP,66.66666666666666,2.0,1.0,2.0,1.0,1.0,2.0,3.0
HPQ,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
JPM,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
EW,100.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0
HLT,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
ALGN,100.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0
MMM,50.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
XEL,66.66666666666666,2.0,1.0,2.0,1.0,1.0,2.0,3.0
JBHT,66.66666666666666,2.0,1.0,3.0,0.0,2.0,1.0,3.0
MAR,33.33333333333333,2.0,4.0,5.0,1.0,1.0,5.0,6.0
MDLZ,100.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0
HAL,100.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
ETR,25.0,1.0,3.0,4.0,0.0,1.0,3.0,4.0
TAP,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
TMO,50.0,2.0,2.0,3.0,1.0,3.0,1.0,4.0
MAA,100.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0
BLK,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
GWW,50.0,3.0,3.0,3.0,3.0,4.0,2.0,6.0
DUK,66.66666666666666,2.0,1.0,2.0,1.0,1.0,2.0,3.0
BIIB,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
MMC,50.0,2.0,2.0,0.0,4.0,2.0,2.0,4.0
KR,50.0,2.0,2.0,3.0,1.0,3.0,1.0,4.0
HSIC,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0
ZTS,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
FITB,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0
HUM,33.33333333333333,1.0,2.0,2.0,1.0,2.0,1.0,3.0
TPR,50.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0
ORCL,66.66666666666666,2.0,1.0,2.0,1.0,1.0,2.0,3.0
MSCI,66.66666666666666,2.0,1.0,2.0,1.0,1.0,2.0,3.0
EMR,75.0,3.0,1.0,4.0,0.0,3.0,1.0,4.0
MAS,33.33333333333333,1.0,2.0,1.0,2.0,1.0,2.0,3.0
COO,50.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0
BALL,50.0,2.0,2.0,3.0,1.0,3.0,1.0,4.0
HBAN,66.66666666666666,2.0,1.0,3.0,0.0,2.0,1.0,3.0
HON,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
ARE,60.0,3.0,2.0,2.0,3.0,2.0,3.0,5.0
BMY,66.66666666666666,2.0,1.0,3.0,0.0,2.0,1.0,3.0
IDXX,25.0,1.0,3.0,4.0,0.0,1.0,3.0,4.0
TFC,50.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0
CNC,66.66666666666666,2.0,1.0,3.0,0.0,2.0,1.0,3.0
AES,33.33333333333333,1.0,2.0,3.0,0.0,1.0,2.0,3.0
PHM,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
HSY,0.0,0.0,3.0,2.0,1.0,1.0,2.0,3.0
WY,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
HST,75.0,3.0,1.0,3.0,1.0,2.0,2.0,4.0
KHC,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0
CMS,60.0,3.0,2.0,3.0,2.0,1.0,4.0,5.0
GLW,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
CPRT,100.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0
CNP,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
SYY,100.0,3.0,0.0,1.0,2.0,1.0,2.0,3.0
CMI,66.66666666666666,2.0,1.0,2.0,1.0,1.0,2.0,3.0
KMI,50.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
AVGO,100.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0
GEHC,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
CDNS,50.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0
GPN,50.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0
GEN,33.33333333333333,1.0,2.0,2.0,1.0,0.0,3.0,3.0
AMZN,100.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
EPAM,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
BR,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
GM,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
ADI,33.33333333333333,1.0,2.0,3.0,0.0,1.0,2.0,3.0
MCO,50.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0
NKE,33.33333333333333,1.0,2.0,3.0,0.0,1.0,2.0,3.0
AMGN,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
GRMN,50.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0
WTW,100.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0
COF,75.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0
CCI,33.33333333333333,1.0,2.0,2.0,1.0,2.0,1.0,3.0
CBRE,100.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0
UPS,33.33333333333333,1.0,2.0,2.0,1.0,0.0,3.0,3.0
NOW,33.33333333333333,1.0,2.0,2.0,1.0,2.0,1.0,3.0
FRT,50.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0
HAS,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
STLD,100.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
UDR,66.66666666666666,2.0,1.0,1.0,2.0,0.0,3.0,3.0
PYPL,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
GDDY,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
ROK,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
ZBH,66.66666666666666,2.0,1.0,1.0,2.0,2.0,1.0,3.0
PNW,25.0,1.0,3.0,2.0,2.0,1.0,3.0,4.0
VLO,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0
LVS,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CF,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
SPGI,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
DVN,66.66666666666666,2.0,1.0,3.0,0.0,2.0,1.0,3.0
WMT,50.0,2.0,2.0,3.0,1.0,3.0,1.0,4.0
PSA,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0
PEP,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
INTU,80.0,4.0,1.0,5.0,0.0,4.0,1.0,5.0
CDW,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
