Symbol,Direction Accuracy (%),Correct Predictions,Incorrect Predictions,Up Predictions,Down Predictions,Actual Ups,Actual Downs,Count
NVDA,80.0,8.0,2.0,9.0,1.0,7.0,3.0,10.0
GOOGL,70.0,7.0,3.0,7.0,3.0,4.0,6.0,10.0
AMZN,60.0,6.0,4.0,9.0,1.0,5.0,5.0,10.0
AAPL,60.0,6.0,4.0,9.0,1.0,5.0,5.0,10.0
MSFT,50.0,5.0,5.0,8.0,2.0,3.0,7.0,10.0
META,60.0,6.0,4.0,8.0,2.0,6.0,4.0,10.0
TSLA,60.0,6.0,4.0,4.0,6.0,4.0,6.0,10.0
Total,62.857142857142854,44.0,26.0,54.0,16.0,34.0,36.0,70.0
