Symbol,RMSE,MAE,MAPE,R2,Count
SHW,6.910344559776945,6.910344559776945,1.8935954427715493,,1.0
WDC,0.26284849240668634,0.20321914444128986,2.120157406233089,0.9983703821724244,2.0
F,0.19389846838780303,0.17217911878715375,1.652607695136778,0.9878201013208389,2.0
MU,0.538702189114962,0.4453905084991838,1.4044747776284616,0.9996893228268721,4.0
SWK,0.8393712681812409,0.734576762992937,1.7919367491518763,0.9992839384247975,3.0
DVA,1.824289796462445,1.4559317096048776,1.9826755565911278,0.9983994975527919,3.0
CSX,0.08232972804310838,0.06688996243008427,2.603211241673851,0.9975848306164782,3.0
ALLE,2.2744024920660313,2.019232014529166,1.8363056418515797,0.9871758878760661,3.0
MO,0.44990929042943933,0.3232290219805217,1.3269906669500553,0.9993889096383555,4.0
UNH,0.4689980072979915,0.39425700028177957,0.3062244152668078,0.9999642524244338,2.0
PARA,0.4766679881899489,0.4580986634245918,3.4758293374798512,0.9954776381277597,4.0
FFIV,8.098779798382644,7.0488686769822415,7.744380856574367,0.9711172380526641,3.0
NOC,8.068176653457396,5.37208555952622,2.4731914348310067,0.9972251108882659,7.0
MA,3.86013691543166,3.575723619654189,1.410609679148062,0.9990154897616819,3.0
ACN,0.8400467716903605,0.7083847275960196,2.3130369141030895,0.9994331713544963,3.0
COP,0.6610074377921511,0.5523286942179795,1.613474487297284,0.9996197345695128,5.0
CTRA,0.39400421969011196,0.30781613397218566,2.2135940370270086,0.9987398853352469,2.0
SWKS,4.736917319660663,4.403946723168947,5.388099802630756,0.7645506974903198,3.0
VRTX,4.393609863158017,3.335983649737637,3.726020273196791,0.9993712860255446,3.0
OTIS,1.4204485377723803,1.4027470793512578,1.7823724817110962,0.944652901225789,2.0
J,2.623365406128831,1.726055455329778,4.197614812725466,0.9353972580005327,3.0
GOOGL,0.016029103034210124,0.016029103034210124,0.09832334391441647,,1.0
TER,3.7091891145459783,2.907268123421108,6.820809433444916,0.9801484098993847,5.0
JKHY,0.47417929279922255,0.4679602488708423,3.1897395157809134,0.9998042651529059,2.0
CAG,0.29546944835445,0.26917974498131725,1.3114958306757634,0.9984375373025626,5.0
RSG,0.714001317069276,0.5173594538321042,1.4132939638121143,0.9999407510524676,4.0
TSCO,1.1185560308989477,0.854125141875957,2.1912746638118668,0.9976943133918891,2.0
ABT,0.41029252541893463,0.39255168628941917,1.032375949604828,0.9998840193147858,2.0
AEE,0.3842989725249486,0.3832809746853763,2.016415396125026,0.9993290360509943,3.0
NDSN,5.075854175878509,3.0217467556414412,4.044304602408814,0.9883581226075506,4.0
GPC,0.47242966148911814,0.3672524902626133,1.0429270887237836,0.9995522916520507,3.0
TDG,0.5850208566083808,0.5850208566083808,0.6845033320520508,,1.0
QCOM,12.715637559504913,12.715637559504913,9.591492044052917,,1.0
GNRC,1.270846232012069,0.8295847051303511,0.4078531885828942,0.9998958510764416,3.0
STZ,0.1845914839725502,0.1845914839725502,0.829554332970024,,1.0
PCAR,0.4263965880484726,0.4263965880484726,1.332930146289545,,1.0
APD,2.5908330809899356,1.9035293466581749,1.231333951441314,0.9989801431235482,4.0
EL,0.18514607586245369,0.18514607586245369,1.305682827476116,,1.0
USB,0.5535887437541293,0.4131256391204857,1.1936115437427977,0.9986156985550548,5.0
